date,sku,units,genre,hour,genre_cleaned,day,25CB99,87A4E4,CC2B77,AED206,9C88F3,ECC5CE,77AA3D,D8470A,647EED,4E3B4C
10-Oct-2010,AED206-77AA3D-4E3B4C-25CB99-9C88F3-CC2B77-647EED-D8470A,20|10|9|20|17|4|20|6,masc,15:23,M,Sun,20,0,4,20,17,0,10,6,20,9
11-Oct-2010,77AA3D-25CB99-CC2B77-9C88F3-87A4E4,13|6|18|10|6,Female,19:44,F,Mon,6,6,18,0,10,0,13,0,0,0
12-Oct-2010,87A4E4-25CB99-9C88F3,16|7|6,-,13:26,-,Tue,7,16,0,0,6,0,0,0,0,0
13-Oct-2010,87A4E4-ECC5CE-D8470A-25CB99-AED206-CC2B77,17|14|8|9|16|14,masc,10:44,M,Wed,9,17,14,16,0,14,0,8,0,0
14-Oct-2010,87A4E4-9C88F3-25CB99-ECC5CE-AED206-CC2B77-77AA3D-4E3B4C,16|11|11|6|4|14|17|10,M,18:06,M,Thu,11,16,14,4,11,6,17,0,0,10
15-Oct-2010,D8470A-77AA3D-647EED-9C88F3-87A4E4,14|16|13|9|6,Female,9:07,F,Fri,0,6,0,0,9,0,16,14,13,0
16-Oct-2010,D8470A-9C88F3-ECC5CE-77AA3D-87A4E4,17|10|7|9|20,Masc,15:04,M,Sat,0,20,0,0,10,7,9,17,0,0
17-Oct-2010,ECC5CE-9C88F3-4E3B4C-D8470A-25CB99-77AA3D-647EED-CC2B77-87A4E4-AED206,15|16|9|15|19|13|13|6|5|6,F,10:53,F,Sun,19,5,6,6,16,15,13,15,13,9
18-Oct-2010,CC2B77-9C88F3-D8470A-AED206-647EED-ECC5CE-4E3B4C-87A4E4,19|4|7|13|17|18|14|16,Masc,20:41,M,Mon,0,16,19,13,4,18,0,7,17,14
19-Oct-2010,CC2B77-9C88F3-25CB99-ECC5CE-D8470A-AED206,5|20|12|13|15|8,masc,12:54,M,Tue,12,0,5,8,20,13,0,15,0,0
20-Oct-2010,4E3B4C-87A4E4-ECC5CE-AED206,6|7|11|8,fem,9:48,F,Wed,0,7,0,8,0,11,0,0,0,6
21-Oct-2010,647EED-D8470A-4E3B4C-77AA3D-25CB99,7|9|13|8|12,masc,15:17,M,Thu,12,0,0,0,0,0,8,9,7,13
22-Oct-2010,25CB99-87A4E4-AED206,17|16|11,F,11:20,F,Fri,17,16,0,11,0,0,0,0,0,0
23-Oct-2010,ECC5CE-9C88F3-CC2B77-4E3B4C-D8470A-25CB99-77AA3D,12|8|8|19|17|18|17,Fem,14:17,F,Sat,18,0,8,0,8,12,17,17,0,19
24-Oct-2010,25CB99-ECC5CE-647EED-4E3B4C-AED206-9C88F3-77AA3D-D8470A-CC2B77,7|14|12|10|20|14|6|4|11,masc,20:31,M,Sun,7,0,11,20,14,14,6,4,12,10
25-Oct-2010,AED206-ECC5CE-647EED-D8470A-CC2B77-77AA3D-87A4E4-4E3B4C-25CB99,17|9|20|5|13|10|8|11|5,Fem,19:27,F,Mon,5,8,13,17,0,9,10,5,20,11
26-Oct-2010,647EED-87A4E4-25CB99-CC2B77,8|4|13|20,fem,10:29,F,Tue,13,4,20,0,0,0,0,0,8,0
27-Oct-2010,D8470A-CC2B77-87A4E4-25CB99-9C88F3-77AA3D-AED206,8|4|13|19|6|13|18,Masc,13:51,M,Wed,19,13,4,18,6,0,13,8,0,0
28-Oct-2010,9C88F3-4E3B4C-647EED-25CB99-D8470A-ECC5CE-CC2B77-AED206-87A4E4,15|6|18|10|12|8|14|12|16,Female,19:43,F,Thu,10,16,14,12,15,8,0,12,18,6
29-Oct-2010,647EED-AED206-9C88F3-D8470A-25CB99-77AA3D-4E3B4C-CC2B77-87A4E4,8|8|11|6|6|16|12|19|14,F,16:25,F,Fri,6,14,19,8,11,0,16,6,8,12
30-Oct-2010,9C88F3-25CB99-AED206-CC2B77-D8470A-4E3B4C-77AA3D,15|16|18|9|9|20|6,masc,18:05,M,Sat,16,0,9,18,15,0,6,9,0,20
31-Oct-2010,25CB99-87A4E4-9C88F3-AED206-77AA3D-D8470A,13|12|11|7|14|11,-,19:25,-,Sun,13,12,0,7,11,0,14,11,0,0
1-Nov-2010,77AA3D-9C88F3-25CB99-ECC5CE-AED206-CC2B77-87A4E4,10|17|5|20|17|12|19,Fem,15:28,F,Mon,5,19,12,17,17,20,10,0,0,0
2-Nov-2010,87A4E4-77AA3D-9C88F3-D8470A,4|6|5|6,M,15:34,M,Tue,0,4,0,0,5,0,6,6,0,0
3-Nov-2010,D8470A-AED206-647EED-CC2B77-25CB99-ECC5CE,14|5|11|13|5|17,Male,13:12,M,Wed,5,0,13,5,0,17,0,14,11,0
4-Nov-2010,ECC5CE-77AA3D-87A4E4-9C88F3-25CB99-CC2B77-4E3B4C-D8470A,20|9|8|9|14|18|7|6,Fem,8:32,F,Thu,14,8,18,0,9,20,9,6,0,7
5-Nov-2010,AED206-ECC5CE-CC2B77,10|13|6,Fem,18:26,F,Fri,0,0,6,10,0,13,0,0,0,0
6-Nov-2010,647EED-25CB99-D8470A,13|13|12,Female,20:23,F,Sat,13,0,0,0,0,0,0,12,13,0
7-Nov-2010,D8470A-4E3B4C-CC2B77-87A4E4,6|19|4|11,F,17:12,F,Sun,0,11,4,0,0,0,0,6,0,19
8-Nov-2010,25CB99-CC2B77-AED206-9C88F3-D8470A-87A4E4-ECC5CE-4E3B4C-647EED-77AA3D,17|5|12|11|11|14|19|5|11|15,F,15:21,F,Mon,17,14,5,12,11,19,15,11,11,5
9-Nov-2010,647EED-9C88F3-25CB99-ECC5CE-4E3B4C-87A4E4-AED206-77AA3D-CC2B77-D8470A,9|14|5|14|5|6|20|5|16|5,Female,12:02,F,Tue,5,6,16,20,14,14,5,5,9,5
10-Nov-2010,ECC5CE-9C88F3-4E3B4C-D8470A,19|6|18|16,F,10:32,F,Wed,0,0,0,0,6,19,0,16,0,18
11-Nov-2010,AED206-25CB99-87A4E4-9C88F3-77AA3D-647EED-D8470A-4E3B4C-ECC5CE-CC2B77,12|6|17|18|6|10|6|18|9|12,Masc,16:28,M,Thu,6,17,12,12,18,9,6,6,10,18
12-Nov-2010,77AA3D-D8470A-25CB99-ECC5CE-AED206-647EED-CC2B77,6|11|4|10|12|4|7,Masc,18:36,M,Fri,4,0,7,12,0,10,6,11,4,0
13-Nov-2010,CC2B77-9C88F3-4E3B4C-77AA3D-ECC5CE-87A4E4-25CB99,6|13|5|18|11|14|11,M,8:54,M,Sat,11,14,6,0,13,11,18,0,0,5
14-Nov-2010,647EED-ECC5CE-25CB99,18|5|4,Fem,12:50,F,Sun,4,0,0,0,0,5,0,0,18,0
15-Nov-2010,D8470A-87A4E4-77AA3D-647EED-25CB99-4E3B4C-9C88F3-AED206-CC2B77,15|17|20|8|19|16|11|20|17,masc,13:55,M,Mon,19,17,17,20,11,0,20,15,8,16
16-Nov-2010,CC2B77-9C88F3-AED206,12|18|10,-,11:29,-,Tue,0,0,12,10,18,0,0,0,0,0
17-Nov-2010,77AA3D-647EED-87A4E4-ECC5CE-AED206-D8470A-4E3B4C-9C88F3-CC2B77,7|18|16|12|18|13|4|17|10,Fem,9:08,F,Wed,0,16,10,18,17,12,7,13,18,4
18-Nov-2010,AED206-25CB99-D8470A-87A4E4-CC2B77-77AA3D-ECC5CE,7|16|12|8|20|19|5,F,8:31,F,Thu,16,8,20,7,0,5,19,12,0,0
19-Nov-2010,9C88F3-D8470A-CC2B77-25CB99-647EED-ECC5CE-87A4E4-77AA3D,19|18|15|6|19|9|8|7,masc,12:34,M,Fri,6,8,15,0,19,9,7,18,19,0
20-Nov-2010,77AA3D-AED206-D8470A-647EED-CC2B77-87A4E4,11|4|16|4|10|13,Male,13:00,M,Sat,0,13,10,4,0,0,11,16,4,0
21-Nov-2010,77AA3D-ECC5CE-9C88F3-87A4E4,7|14|18|17,Female,9:32,F,Sun,0,17,0,0,18,14,7,0,0,0
