date,sku;units,genre,hour
10-Oct-2010,AED206-77AA3D-4E3B4C-25CB99-9C88F3-CC2B77-647EED-D8470A;20|10|9|20|17|4|20|6,masc,15:23
11-Oct-2010,77AA3D-25CB99-CC2B77-9C88F3-87A4E4;13|6|18|10|6,Female,19:44
12-Oct-2010,87A4E4-25CB99-9C88F3;16|7|6,-,13:26
13-Oct-2010,87A4E4-ECC5CE-D8470A-25CB99-AED206-CC2B77;17|14|8|9|16|14,masc,10:44
14-Oct-2010,87A4E4-9C88F3-25CB99-ECC5CE-AED206-CC2B77-77AA3D-4E3B4C;16|11|11|6|4|14|17|10,M,18:06
15-Oct-2010,D8470A-77AA3D-647EED-9C88F3-87A4E4;14|16|13|9|6,Female,9:07
16-Oct-2010,D8470A-9C88F3-ECC5CE-77AA3D-87A4E4;17|10|7|9|20,Masc,15:04
17-Oct-2010,ECC5CE-9C88F3-4E3B4C-D8470A-25CB99-77AA3D-647EED-CC2B77-87A4E4-AED206;15|16|9|15|19|13|13|6|5|6,F,10:53
18-Oct-2010,CC2B77-9C88F3-D8470A-AED206-647EED-ECC5CE-4E3B4C-87A4E4;19|4|7|13|17|18|14|16,Masc,20:41
19-Oct-2010,CC2B77-9C88F3-25CB99-ECC5CE-D8470A-AED206;5|20|12|13|15|8,masc,12:54
20-Oct-2010,4E3B4C-87A4E4-ECC5CE-AED206;6|7|11|8,fem,9:48
21-Oct-2010,647EED-D8470A-4E3B4C-77AA3D-25CB99;7|9|13|8|12,masc,15:17
22-Oct-2010,25CB99-87A4E4-AED206;17|16|11,F,11:20
23-Oct-2010,ECC5CE-9C88F3-CC2B77-4E3B4C-D8470A-25CB99-77AA3D;12|8|8|19|17|18|17,Fem,14:17
24-Oct-2010,25CB99-ECC5CE-647EED-4E3B4C-AED206-9C88F3-77AA3D-D8470A-CC2B77;7|14|12|10|20|14|6|4|11,masc,20:31
25-Oct-2010,AED206-ECC5CE-647EED-D8470A-CC2B77-77AA3D-87A4E4-4E3B4C-25CB99;17|9|20|5|13|10|8|11|5,Fem,19:27
26-Oct-2010,647EED-87A4E4-25CB99-CC2B77;8|4|13|20,fem,10:29
27-Oct-2010,D8470A-CC2B77-87A4E4-25CB99-9C88F3-77AA3D-AED206;8|4|13|19|6|13|18,Masc,13:51
28-Oct-2010,9C88F3-4E3B4C-647EED-25CB99-D8470A-ECC5CE-CC2B77-AED206-87A4E4;15|6|18|10|12|8|14|12|16,Female,19:43
29-Oct-2010,647EED-AED206-9C88F3-D8470A-25CB99-77AA3D-4E3B4C-CC2B77-87A4E4;8|8|11|6|6|16|12|19|14,F,16:25
30-Oct-2010,9C88F3-25CB99-AED206-CC2B77-D8470A-4E3B4C-77AA3D;15|16|18|9|9|20|6,masc,18:05
31-Oct-2010,25CB99-87A4E4-9C88F3-AED206-77AA3D-D8470A;13|12|11|7|14|11,-,19:25
1-Nov-2010,77AA3D-9C88F3-25CB99-ECC5CE-AED206-CC2B77-87A4E4;10|17|5|20|17|12|19,Fem,15:28
2-Nov-2010,87A4E4-77AA3D-9C88F3-D8470A;4|6|5|6,M,15:34
3-Nov-2010,D8470A-AED206-647EED-CC2B77-25CB99-ECC5CE;14|5|11|13|5|17,Male,13:12
4-Nov-2010,ECC5CE-77AA3D-87A4E4-9C88F3-25CB99-CC2B77-4E3B4C-D8470A;20|9|8|9|14|18|7|6,Fem,8:32
5-Nov-2010,AED206-ECC5CE-CC2B77;10|13|6,Fem,18:26
6-Nov-2010,647EED-25CB99-D8470A;13|13|12,Female,20:23
7-Nov-2010,D8470A-4E3B4C-CC2B77-87A4E4;6|19|4|11,F,17:12
8-Nov-2010,25CB99-CC2B77-AED206-9C88F3-D8470A-87A4E4-ECC5CE-4E3B4C-647EED-77AA3D;17|5|12|11|11|14|19|5|11|15,F,15:21
9-Nov-2010,647EED-9C88F3-25CB99-ECC5CE-4E3B4C-87A4E4-AED206-77AA3D-CC2B77-D8470A;9|14|5|14|5|6|20|5|16|5,Female,12:02
10-Nov-2010,ECC5CE-9C88F3-4E3B4C-D8470A;19|6|18|16,F,10:32
11-Nov-2010,AED206-25CB99-87A4E4-9C88F3-77AA3D-647EED-D8470A-4E3B4C-ECC5CE-CC2B77;12|6|17|18|6|10|6|18|9|12,Masc,16:28
12-Nov-2010,77AA3D-D8470A-25CB99-ECC5CE-AED206-647EED-CC2B77;6|11|4|10|12|4|7,Masc,18:36
13-Nov-2010,CC2B77-9C88F3-4E3B4C-77AA3D-ECC5CE-87A4E4-25CB99;6|13|5|18|11|14|11,M,8:54
14-Nov-2010,647EED-ECC5CE-25CB99;18|5|4,Fem,12:50
15-Nov-2010,D8470A-87A4E4-77AA3D-647EED-25CB99-4E3B4C-9C88F3-AED206-CC2B77;15|17|20|8|19|16|11|20|17,masc,13:55
16-Nov-2010,CC2B77-9C88F3-AED206;12|18|10,-,11:29
17-Nov-2010,77AA3D-647EED-87A4E4-ECC5CE-AED206-D8470A-4E3B4C-9C88F3-CC2B77;7|18|16|12|18|13|4|17|10,Fem,9:08
18-Nov-2010,AED206-25CB99-D8470A-87A4E4-CC2B77-77AA3D-ECC5CE;7|16|12|8|20|19|5,F,8:31
19-Nov-2010,9C88F3-D8470A-CC2B77-25CB99-647EED-ECC5CE-87A4E4-77AA3D;19|18|15|6|19|9|8|7,masc,12:34
20-Nov-2010,77AA3D-AED206-D8470A-647EED-CC2B77-87A4E4;11|4|16|4|10|13,Male,13:00
21-Nov-2010,77AA3D-ECC5CE-9C88F3-87A4E4;7|14|18|17,Female,9:32
22-Nov-2010,25CB99-CC2B77-4E3B4C-D8470A-77AA3D-647EED;20|13|17|15|13|4,M,18:54
23-Nov-2010,CC2B77-4E3B4C-25CB99-9C88F3-ECC5CE-647EED-87A4E4-D8470A-AED206-77AA3D;9|4|18|12|12|19|8|12|18|12,-,9:55
24-Nov-2010,ECC5CE-25CB99-CC2B77-647EED-77AA3D-D8470A-9C88F3-87A4E4;10|8|18|14|7|13|5|9,Masc,19:24
25-Nov-2010,9C88F3-25CB99-D8470A-87A4E4;15|6|18|4,Fem,20:28
26-Nov-2010,25CB99-ECC5CE-647EED-CC2B77-AED206-D8470A;20|4|11|12|10|19,Fem,16:20
27-Nov-2010,AED206-D8470A-9C88F3-CC2B77-77AA3D-ECC5CE-4E3B4C-87A4E4-647EED-25CB99;9|5|5|19|8|19|10|18|15|5,F,11:24
28-Nov-2010,4E3B4C-77AA3D-25CB99-D8470A;17|19|11|10,-,19:33
29-Nov-2010,77AA3D-87A4E4-ECC5CE-AED206-25CB99-D8470A-CC2B77-4E3B4C;18|4|16|10|11|14|13|17,Fem,14:22
30-Nov-2010,647EED-9C88F3-CC2B77-D8470A-ECC5CE-87A4E4-4E3B4C-AED206-25CB99-77AA3D;12|4|19|5|18|16|13|16|18|20,Fem,14:05
1-Dec-2010,CC2B77-4E3B4C-D8470A-647EED-87A4E4-ECC5CE;17|16|18|15|11|7,Masc,14:35
2-Dec-2010,4E3B4C-87A4E4-25CB99-D8470A-CC2B77-9C88F3-647EED-77AA3D-ECC5CE;17|20|5|8|8|14|12|4|17,Fem,10:10
3-Dec-2010,CC2B77-4E3B4C-77AA3D;13|10|5,F,13:09
4-Dec-2010,77AA3D-647EED-ECC5CE-25CB99;17|19|12|10,Fem,12:34
5-Dec-2010,AED206-CC2B77-4E3B4C-ECC5CE-25CB99;18|4|4|20|8,F,14:22
6-Dec-2010,CC2B77-4E3B4C-D8470A-ECC5CE;14|11|5|12,F,16:02
7-Dec-2010,CC2B77-ECC5CE-87A4E4-9C88F3-25CB99-D8470A-647EED;10|20|16|4|9|10|20,fem,20:01
8-Dec-2010,CC2B77-4E3B4C-647EED-9C88F3-D8470A-87A4E4-77AA3D-25CB99-AED206;19|16|9|5|4|16|8|9|4,Male,14:02
9-Dec-2010,CC2B77-D8470A-AED206-87A4E4-25CB99-647EED;5|15|7|10|14|17,Fem,10:01
10-Dec-2010,77AA3D-4E3B4C-ECC5CE-9C88F3;9|5|9|8,Male,20:28
11-Dec-2010,25CB99-87A4E4-9C88F3-CC2B77-4E3B4C;11|6|17|13|15,Male,9:45
12-Dec-2010,D8470A-9C88F3-77AA3D-AED206-ECC5CE;20|15|9|7|16,fem,9:28
13-Dec-2010,87A4E4-AED206-ECC5CE-25CB99-D8470A-647EED-4E3B4C-CC2B77-77AA3D-9C88F3;16|13|16|9|16|7|14|17|8|6,Masc,13:11
14-Dec-2010,647EED-CC2B77-AED206;16|16|4,Masc,20:49
15-Dec-2010,D8470A-647EED-CC2B77-4E3B4C-77AA3D;13|17|18|19|17,Fem,20:15
16-Dec-2010,ECC5CE-4E3B4C-CC2B77-D8470A-9C88F3;17|10|17|9|16,fem,11:28
17-Dec-2010,4E3B4C-CC2B77-9C88F3-77AA3D-D8470A;15|19|18|11|7,-,15:31
18-Dec-2010,AED206-CC2B77-D8470A-ECC5CE-25CB99-87A4E4-647EED-77AA3D;8|10|7|8|17|12|5|19,M,12:39
19-Dec-2010,25CB99-ECC5CE-D8470A;15|14|14,Female,8:13
