contract_id,hotel_name,ingredients
15smll0h6l,Berge-Parker,"Dried Apricots,Tahini,Soymilk"
psbnw3frch,Breitenberg Group,"Cauliflower,Tamarillo,Cacao,Iceberg Lettuce,Hokkien Noodles"
01vysmxnf6,Schmeler-Renner,"Achacha,Bonza,Chives"
jqh3m796qs,Deckow-Kihn,"Flaxseed Oil,Soy Sauce,Kidneys"
5n7nteez7b,Brown Group,"Curry Powder,Shark,Achacha"
wurztngcxr,Nienow LLC,"Red Cabbage,Apple Cider Vinegar,Coriander Leaves"
e6iptl0pfl,Schmeler-Renner,"Camomile,Rockmelon,Dried Apricots,Extra Virgin Olive Oil,Fingerlime"
qkluqcqolz,Deckow-Kihn,"Apples,Pork,Rockmelon,White Wine,Wakame"
fnq4zy4nx9,Lockman-Wintheiser,"Pork,Rockmelon,Elderberry,Iceberg Lettuce,Cauliflower"
8u8arswp6d,Quigley-Braun,"Iceberg Lettuce,Rice Flour,Lychees"
ttzpqwbbc6,"McCullough, Leannon and Nolan","Strawberries,Smoked Trout,Cinnamon,Freekeh"
2xtncq1hcb,Breitenberg Group,"Apricots,Rice Noodles,English Spinach,Pork"
pdhedkux3g,Lockman-Wintheiser,"Kidneys,Kombu,Pear Juice,Rye Bread,Flat Mushrooms"
18ha6a9yof,Pollich Inc,"Apple Cider Vinegar,Cinnamon,Vegetable Stock"
j025nu0cyi,"Gottlieb, Wolff and Bechtelar","Cauliflower,Berries,Hokkien Noodles"
a5xg83avr6,Schmeler-Renner,"Vegetable Stock,Canola Oil,Hokkien Noodles,Iceberg Lettuce,Cauliflower"
lwdbiqlcvt,Deckow-Kihn,"Vegetable Oil,Coriander Leaves,Chia Seeds,Chives"
5yofvgyrul,"McCullough, Leannon and Nolan","Taleggio Cheese,Tinned,Tarragon"
htrqk0eee8,Leffler-Huel,"Flat Mushrooms,Feta,Kombu,Apple Cider Vinegar,Hokkien Noodles"
ivfouthwa0,Schmitt-Reichert,"Cream Cheese,Beef,Cottage Cheese,Oatmeal,Soymilk"
vq4nz3tuaj,Sporer Group,"Butter,Bonza,Vegetable Stock,Apricots,Tarragon"
mlcr3x7oju,Berge-Parker,"White Wine,Green Tea Noodles,English Spinach,Saffron,Cream Cheese"
bjgolcemk1,Lockman-Wintheiser,"Flaxseed Oil,Black Eyed Beans,Sunflower Oil,English Spinach,Berries"
q1n9755de4,Feil LLC,"Hokkien Noodles,Beef,Dried Apricots,Peas"
f96fjf7hdm,Schmitt-Reichert,"Camomile,Apples,Omega Spread,Dried Apricots,Rose Water"
c5rntrn5ed,Feil LLC,"Corn Oil,Sunflower Seeds,Canola Oil,Tarragon,Cardamom"
2kf3elos5e,Pollich Inc,"Rockmelon,Tinned,Dried Apricots"
oehydznmsj,Bosco-Bayer,"Apple Cider Vinegar,Turnips,Soy Beans,Apricots,Sunflower Seeds"
u9kx4pj89l,Braun-Wunsch,"Taleggio Cheese,Wakame,Tinned,Pork"
rhheae3gow,Dare LLC,"Omega Spread,Rice Flour,Shark,Parsnip,Mahlab"
enbew97vn7,Sporer Group,"Fingerlime,Flaxseed Oil,Tinned,Provolone"
tumtiz0wi4,Schmeler-Renner,"Tapioca Flour,Saffron,Redfish"
6e9h7bmetg,Blanda and Sons,"Freekeh,Camomile,Strawberries,Nuts,Soymilk"
86dualszlw,Murray LLC,"Nuts,Tinned,Red Cabbage,Chives,Tarragon"
z6zmu1wh5i,Goldner LLC,"Iceberg Lettuce,Canola Oil,Taleggio Cheese"
wibfe1yfnv,Koelpin-Feeney,"Kombu,Baking Powder,Parsnip,Nutritional Yeast,Provolone"
bb4018uo7l,Braun-Wunsch,"Loquats,Pear Juice,Soy Beans,Silverbeet"
oqo239seu7,Wolff-Cartwright,"Coriander Leaves,Rice Noodles,Sunflower Oil"
kb6z15e2sf,Bruen-Jaskolski,"Mastic,Warehou,Flaxseed Oil,Jasmine Rice"
0o9za7g802,Brown Group,"Redfish,Green Tea Noodles,Pork,Ham"
obpw7w3yyc,Rempel and Sons,"Cacao,Canola Oil,Freekeh"
pj94trv72h,Pollich Inc,"Bean Sprouts,Nuts,Tahini,Wakame"
zufqqip6mx,Reilly-Ebert,"Strawberries,Ham,Spinach,Apples,William Pear"
9ed99ud2au,Kerluke-Armstrong,"Sunflower Seeds,Pecan Nut,Nutritional Yeast"
hkswhg05s7,"Lubowitz, Prohaska and Reilly","Redfish,Cinnamon,Pork,Extra Virgin Olive Oil"
m74dco7htl,Kunze Inc,"Flaxseed Oil,Green Tea Noodles,Saffron"
jlau27soee,Botsford Inc,"Curry Powder,Canola Oil,Bonza,Smoked Trout,Cinnamon"
7oophulk1q,Kerluke-Armstrong,"Soy Sauce,Green Tea Noodles,Rice Flour,Shark,Warehou"
n66b9mo2pj,Goldner LLC,"Strawberries,Cauliflower,Lychees,Red Cabbage,Canola Oil"
oa8ejrooaz,Dare LLC,"Tapioca Flour,Chia Seeds,Chives,Bean Sprouts"
tnl0huz7xj,"Cummings, O'Hara and Casper","Corn Oil,Rockmelon,Achacha,Salmon"
8im10hv7gb,Reilly-Ebert,"Bean Sprouts,Vegetable Stock,Baking Powder,Oatmeal"
fo2r6b3536,Schmeler-Renner,"Parsnip,Soy Beans,Peas,Sunflower Oil,Chia Seeds"
8d18ttgdqc,Skiles Group,"Canola Oil,Rice Flour,Cornmeal,Vegetable Oil,Curry Powder"
qsg1q55nlj,Bruen-Jaskolski,"Shark,Mastic,Provolone"
0503zo9glt,Wolff-Cartwright,"Rice Noodles,Omega Spread,Tarragon"
6nihufm1k4,Pollich Inc,"Camomile,Elderberry,Beef"
utnlnvip7m,"Becker, Considine and Koelpin","Cornmeal,Ham,Red Cabbage"
2bgvvb8t1t,"McCullough, Leannon and Nolan","Soy Sauce,Kombu,Cornmeal,Mahlab"
2eetp7ae6d,"Cummings, O'Hara and Casper","Flat Mushrooms,Flaxseed Oil,Tahini"
rle3sflg0s,"Leannon, Cassin and Trantow","Apples,Rye Bread,Kombu"
5ticki9di2,Koelpin-Feeney,"Nuts,White Wine,Bonza,Turnips,Cinnamon"
9u06ykvby1,"Kutch, Ryan and Boyer","Sunflower Oil,Chia Seeds,Chives,Vegetable Oil,Turnips"
dvkotbdkwt,Bosco-Bayer,"Rye Bread,Parsnip,Camomile,English Spinach"
6w2spoy739,"Gottlieb, Wolff and Bechtelar","Soy Beans,Apple Cider Vinegar,Pecan Nut,Apples"
