date,sku,units-sold
10-10-2010,88f4fbd642b69fac,81
10-11-2010,34b56ab7,243
10-12-2010,1cc77eae72,221
10-13-2010,34b56ab7,420
10-14-2010,2b5eba53a32699,474
10-15-2010,34b56ab7,322
10-16-2010,1cc77eae72,436
10-17-2010,34b56ab7,330
10-18-2010,88f4fbd642b69fac,397
10-19-2010,88f4fbd642b69fac,214
10-20-2010,1cc77eae72,104
10-21-2010,88f4fbd642b69fac,270
10-22-2010,88f4fbd642b69fac,185
10-23-2010,1cc77eae72,195
10-24-2010,88f4fbd642b69fac,291
10-25-2010,88f4fbd642b69fac,79
10-26-2010,0444e582,347
10-27-2010,2b5eba53a32699,360
10-28-2010,88f4fbd642b69fac,156
10-29-2010,34b56ab7,102
10-30-2010,1cc77eae72,291
10-31-2010,88f4fbd642b69fac,359
11-1-2010,88f4fbd642b69fac,261
11-2-2010,88f4fbd642b69fac,170
11-3-2010,34b56ab7,106
11-4-2010,34b56ab7,189
11-5-2010,88f4fbd642b69fac,137
11-6-2010,0444e582,312
11-7-2010,88f4fbd642b69fac,244
11-8-2010,88f4fbd642b69fac,445
11-9-2010,1cc77eae72,320
11-10-2010,1cc77eae72,284
11-11-2010,88f4fbd642b69fac,360
11-12-2010,34b56ab7,462
11-13-2010,1cc77eae72,346
11-14-2010,34b56ab7,93
11-15-2010,88f4fbd642b69fac,452
11-16-2010,1cc77eae72,370
11-17-2010,1cc77eae72,385
11-18-2010,88f4fbd642b69fac,298
11-19-2010,88f4fbd642b69fac,394
11-20-2010,88f4fbd642b69fac,273
11-21-2010,88f4fbd642b69fac,85
11-22-2010,1cc77eae72,392
11-23-2010,34b56ab7,327
11-24-2010,1cc77eae72,390
11-25-2010,34b56ab7,77
11-26-2010,34b56ab7,113
11-27-2010,88f4fbd642b69fac,345
11-28-2010,1cc77eae72,295
11-29-2010,34b56ab7,262
11-30-2010,88f4fbd642b69fac,326
12-1-2010,2b5eba53a32699,81
12-2-2010,1cc77eae72,91
12-3-2010,88f4fbd642b69fac,431
12-4-2010,34b56ab7,201
12-5-2010,0444e582,347
12-6-2010,1cc77eae72,307
12-7-2010,1cc77eae72,447
12-8-2010,88f4fbd642b69fac,431
12-9-2010,88f4fbd642b69fac,293
12-10-2010,1cc77eae72,329
12-11-2010,88f4fbd642b69fac,292
12-12-2010,34b56ab7,335
12-13-2010,88f4fbd642b69fac,484
12-14-2010,88f4fbd642b69fac,427
12-15-2010,34b56ab7,439
12-16-2010,34b56ab7,120
12-17-2010,88f4fbd642b69fac,155
12-18-2010,88f4fbd642b69fac,381
12-19-2010,2b5eba53a32699,80
12-20-2010,88f4fbd642b69fac,284
12-21-2010,88f4fbd642b69fac,153
12-22-2010,88f4fbd642b69fac,139
12-23-2010,1cc77eae72,437
12-24-2010,34b56ab7,334
12-25-2010,1cc77eae72,321
12-26-2010,88f4fbd642b69fac,444
12-27-2010,1cc77eae72,80
12-28-2010,88f4fbd642b69fac,193
12-29-2010,3e080b,388
12-30-2010,34b56ab7,63
12-31-2010,1cc77eae72,156
1-1-2011,0444e582,56
1-2-2011,88f4fbd642b69fac,73
1-3-2011,34b56ab7,83
1-4-2011,1cc77eae72,367
1-5-2011,1cc77eae72,481
1-6-2011,1cc77eae72,139
1-7-2011,88f4fbd642b69fac,474
1-8-2011,88f4fbd642b69fac,286
1-9-2011,88f4fbd642b69fac,424
1-10-2011,88f4fbd642b69fac,58
1-11-2011,1cc77eae72,228
1-12-2011,34b56ab7,338
1-13-2011,34b56ab7,154
1-14-2011,1cc77eae72,227
1-15-2011,3e080b,494
1-16-2011,0444e582,121
1-17-2011,1cc77eae72,400
1-18-2011,1cc77eae72,322
1-19-2011,3e080b,242
1-20-2011,34b56ab7,472
1-21-2011,34b56ab7,471
1-22-2011,34b56ab7,386
1-23-2011,88f4fbd642b69fac,200
1-24-2011,88f4fbd642b69fac,170
1-25-2011,1cc77eae72,306
1-26-2011,34b56ab7,75
1-27-2011,88f4fbd642b69fac,427
1-28-2011,88f4fbd642b69fac,334
1-29-2011,88f4fbd642b69fac,252
1-30-2011,34b56ab7,316
1-31-2011,88f4fbd642b69fac,380
2-1-2011,34b56ab7,127
2-2-2011,2b5eba53a32699,105
2-3-2011,1cc77eae72,76
2-4-2011,34b56ab7,409
2-5-2011,1cc77eae72,177
2-6-2011,34b56ab7,141
2-7-2011,1cc77eae72,388
2-8-2011,0444e582,453
2-9-2011,1cc77eae72,91
2-10-2011,88f4fbd642b69fac,219
2-11-2011,88f4fbd642b69fac,203
2-12-2011,34b56ab7,487
2-13-2011,1cc77eae72,244
2-14-2011,88f4fbd642b69fac,481
2-15-2011,1cc77eae72,275
2-16-2011,1cc77eae72,168
2-17-2011,1cc77eae72,372
2-18-2011,1cc77eae72,342
2-19-2011,1cc77eae72,357
2-20-2011,88f4fbd642b69fac,348
2-21-2011,1cc77eae72,324
2-22-2011,88f4fbd642b69fac,459
2-23-2011,88f4fbd642b69fac,454
2-24-2011,88f4fbd642b69fac,441
2-25-2011,1cc77eae72,490
2-26-2011,1cc77eae72,166
2-27-2011,1cc77eae72,210
2-28-2011,34b56ab7,472
3-1-2011,3e080b,241
3-2-2011,1cc77eae72,86
3-3-2011,88f4fbd642b69fac,227
3-4-2011,88f4fbd642b69fac,356
3-5-2011,34b56ab7,251
3-6-2011,34b56ab7,496
3-7-2011,34b56ab7,480
3-8-2011,34b56ab7,67
3-9-2011,88f4fbd642b69fac,222
3-10-2011,34b56ab7,205
3-11-2011,1cc77eae72,316
3-12-2011,88f4fbd642b69fac,71
3-13-2011,34b56ab7,159
3-14-2011,2b5eba53a32699,345
3-15-2011,0444e582,130
3-16-2011,34b56ab7,169
3-17-2011,1cc77eae72,322
3-18-2011,34b56ab7,173
3-19-2011,1cc77eae72,373
3-20-2011,34b56ab7,315
3-21-2011,88f4fbd642b69fac,208
3-22-2011,88f4fbd642b69fac,263
3-23-2011,1cc77eae72,387
3-24-2011,88f4fbd642b69fac,283
3-25-2011,34b56ab7,490
3-26-2011,1cc77eae72,303
3-27-2011,88f4fbd642b69fac,95
3-28-2011,0444e582,150
3-29-2011,88f4fbd642b69fac,159
3-30-2011,1cc77eae72,303
3-31-2011,1cc77eae72,332
4-1-2011,1cc77eae72,188
4-2-2011,88f4fbd642b69fac,61
4-3-2011,1cc77eae72,471
4-4-2011,88f4fbd642b69fac,119
4-5-2011,88f4fbd642b69fac,138
4-6-2011,34b56ab7,456
4-7-2011,1cc77eae72,51
4-8-2011,1cc77eae72,130
4-9-2011,34b56ab7,65
4-10-2011,88f4fbd642b69fac,105
4-11-2011,88f4fbd642b69fac,459
4-12-2011,88f4fbd642b69fac,56
4-13-2011,88f4fbd642b69fac,468
4-14-2011,88f4fbd642b69fac,111
4-15-2011,34b56ab7,104
4-16-2011,34b56ab7,409
4-17-2011,34b56ab7,183
4-18-2011,1cc77eae72,83
4-19-2011,34b56ab7,474
4-20-2011,1cc77eae72,445
4-21-2011,3e080b,119
4-22-2011,3e080b,271
4-23-2011,2b5eba53a32699,363
4-24-2011,2b5eba53a32699,303
4-25-2011,34b56ab7,94
4-26-2011,1cc77eae72,268
4-27-2011,88f4fbd642b69fac,51
4-28-2011,88f4fbd642b69fac,74
4-29-2011,1cc77eae72,192
4-30-2011,3e080b,335
5-1-2011,1cc77eae72,344
5-2-2011,1cc77eae72,261
5-3-2011,34b56ab7,261
5-4-2011,88f4fbd642b69fac,136
5-5-2011,88f4fbd642b69fac,479
5-6-2011,1cc77eae72,283
5-7-2011,1cc77eae72,360
5-8-2011,1cc77eae72,382
5-9-2011,34b56ab7,263
5-10-2011,0444e582,322
5-11-2011,1cc77eae72,109
5-12-2011,1cc77eae72,337
5-13-2011,88f4fbd642b69fac,272
5-14-2011,88f4fbd642b69fac,257
5-15-2011,88f4fbd642b69fac,497
5-16-2011,1cc77eae72,442
5-17-2011,1cc77eae72,57
5-18-2011,88f4fbd642b69fac,63
5-19-2011,34b56ab7,302
5-20-2011,88f4fbd642b69fac,102
5-21-2011,34b56ab7,166
5-22-2011,34b56ab7,345
5-23-2011,1cc77eae72,406
5-24-2011,3e080b,98
5-25-2011,88f4fbd642b69fac,379
5-26-2011,3e080b,290
5-27-2011,34b56ab7,158
5-28-2011,1cc77eae72,378
5-29-2011,2b5eba53a32699,371
5-30-2011,1cc77eae72,108
5-31-2011,34b56ab7,307
6-1-2011,34b56ab7,101
6-2-2011,2b5eba53a32699,247
6-3-2011,1cc77eae72,193
6-4-2011,1cc77eae72,134
6-5-2011,34b56ab7,424
6-6-2011,88f4fbd642b69fac,155
6-7-2011,88f4fbd642b69fac,467
6-8-2011,1cc77eae72,245
6-9-2011,88f4fbd642b69fac,479
6-10-2011,34b56ab7,187
6-11-2011,34b56ab7,124
6-12-2011,34b56ab7,456
6-13-2011,88f4fbd642b69fac,74
6-14-2011,88f4fbd642b69fac,391
6-15-2011,1cc77eae72,314
6-16-2011,1cc77eae72,107
6-17-2011,1cc77eae72,135
6-18-2011,1cc77eae72,282
6-19-2011,34b56ab7,378
6-20-2011,1cc77eae72,274
6-21-2011,1cc77eae72,136
6-22-2011,34b56ab7,499
6-23-2011,88f4fbd642b69fac,272
6-24-2011,1cc77eae72,359
6-25-2011,1cc77eae72,447
6-26-2011,88f4fbd642b69fac,214
6-27-2011,34b56ab7,378
6-28-2011,34b56ab7,309
6-29-2011,2b5eba53a32699,271
6-30-2011,34b56ab7,209
7-1-2011,34b56ab7,283
7-2-2011,88f4fbd642b69fac,365
7-3-2011,34b56ab7,147
7-4-2011,88f4fbd642b69fac,308
7-5-2011,88f4fbd642b69fac,351
7-6-2011,1cc77eae72,365
7-7-2011,88f4fbd642b69fac,86
7-8-2011,3e080b,376
7-9-2011,1cc77eae72,120
7-10-2011,34b56ab7,50
7-11-2011,3e080b,350
7-12-2011,34b56ab7,480
7-13-2011,34b56ab7,392
7-14-2011,88f4fbd642b69fac,250
7-15-2011,88f4fbd642b69fac,230
7-16-2011,3e080b,187
7-17-2011,88f4fbd642b69fac,375
7-18-2011,1cc77eae72,102
7-19-2011,88f4fbd642b69fac,366
7-20-2011,1cc77eae72,120
7-21-2011,88f4fbd642b69fac,255
7-22-2011,88f4fbd642b69fac,300
7-23-2011,1cc77eae72,428
7-24-2011,1cc77eae72,269
7-25-2011,88f4fbd642b69fac,495
7-26-2011,88f4fbd642b69fac,475
7-27-2011,34b56ab7,480
7-28-2011,1cc77eae72,402
7-29-2011,1cc77eae72,347
7-30-2011,1cc77eae72,382
7-31-2011,1cc77eae72,243
8-1-2011,88f4fbd642b69fac,77
8-2-2011,88f4fbd642b69fac,55
8-3-2011,3e080b,150
8-4-2011,1cc77eae72,232
8-5-2011,34b56ab7,377
8-6-2011,34b56ab7,305
8-7-2011,34b56ab7,115
8-8-2011,34b56ab7,86
8-9-2011,34b56ab7,359
8-10-2011,88f4fbd642b69fac,151
8-11-2011,88f4fbd642b69fac,491
8-12-2011,1cc77eae72,412
8-13-2011,34b56ab7,255
8-14-2011,1cc77eae72,89
8-15-2011,88f4fbd642b69fac,237
8-16-2011,88f4fbd642b69fac,199
8-17-2011,1cc77eae72,278
8-18-2011,1cc77eae72,456
8-19-2011,1cc77eae72,215
8-20-2011,1cc77eae72,87
8-21-2011,88f4fbd642b69fac,374
8-22-2011,88f4fbd642b69fac,203
8-23-2011,88f4fbd642b69fac,302
8-24-2011,34b56ab7,238
8-25-2011,88f4fbd642b69fac,152
8-26-2011,88f4fbd642b69fac,132
8-27-2011,0444e582,497
8-28-2011,34b56ab7,248
8-29-2011,88f4fbd642b69fac,450
8-30-2011,34b56ab7,430
8-31-2011,3e080b,399
9-1-2011,1cc77eae72,312
9-2-2011,88f4fbd642b69fac,202
9-3-2011,34b56ab7,70
9-4-2011,1cc77eae72,63
9-5-2011,1cc77eae72,79
9-6-2011,88f4fbd642b69fac,234
9-7-2011,34b56ab7,466
9-8-2011,1cc77eae72,452
9-9-2011,1cc77eae72,497
9-10-2011,88f4fbd642b69fac,407
9-11-2011,34b56ab7,190
9-12-2011,1cc77eae72,379
9-13-2011,1cc77eae72,409
9-14-2011,2b5eba53a32699,286
9-15-2011,34b56ab7,131
9-16-2011,1cc77eae72,238
9-17-2011,34b56ab7,319
9-18-2011,88f4fbd642b69fac,452
9-19-2011,34b56ab7,125
9-20-2011,34b56ab7,192
9-21-2011,88f4fbd642b69fac,266
9-22-2011,88f4fbd642b69fac,189
9-23-2011,88f4fbd642b69fac,441
9-24-2011,34b56ab7,464
9-25-2011,1cc77eae72,261
9-26-2011,1cc77eae72,165
9-27-2011,0444e582,283
9-28-2011,1cc77eae72,129
9-29-2011,1cc77eae72,397
9-30-2011,34b56ab7,187
10-1-2011,34b56ab7,300
10-2-2011,1cc77eae72,78
10-3-2011,1cc77eae72,326
10-4-2011,88f4fbd642b69fac,246
10-5-2011,88f4fbd642b69fac,76
10-6-2011,0444e582,311
10-7-2011,88f4fbd642b69fac,315
10-8-2011,34b56ab7,412
10-9-2011,1cc77eae72,327
10-10-2011,34b56ab7,82
10-11-2011,1cc77eae72,131
10-12-2011,88f4fbd642b69fac,58
10-13-2011,1cc77eae72,411
10-14-2011,34b56ab7,80
10-15-2011,1cc77eae72,393
10-16-2011,88f4fbd642b69fac,474
10-17-2011,34b56ab7,165
10-18-2011,1cc77eae72,68
10-19-2011,88f4fbd642b69fac,99
10-20-2011,3e080b,322
10-21-2011,34b56ab7,453
10-22-2011,34b56ab7,403
10-23-2011,34b56ab7,126
10-24-2011,34b56ab7,276
10-25-2011,34b56ab7,59
10-26-2011,88f4fbd642b69fac,459
10-27-2011,34b56ab7,285
10-28-2011,88f4fbd642b69fac,219
10-29-2011,1cc77eae72,69
10-30-2011,1cc77eae72,167
10-31-2011,1cc77eae72,330
11-1-2011,34b56ab7,209
11-2-2011,0444e582,415
11-3-2011,3e080b,187
11-4-2011,34b56ab7,256
11-5-2011,34b56ab7,108
11-6-2011,1cc77eae72,218
11-7-2011,88f4fbd642b69fac,166
11-8-2011,34b56ab7,371
11-9-2011,34b56ab7,146
11-10-2011,34b56ab7,213
11-11-2011,1cc77eae72,283
11-12-2011,34b56ab7,212
11-13-2011,34b56ab7,465
11-14-2011,1cc77eae72,210
11-15-2011,34b56ab7,477
11-16-2011,88f4fbd642b69fac,369
11-17-2011,88f4fbd642b69fac,51
11-18-2011,1cc77eae72,242
11-19-2011,1cc77eae72,261
11-20-2011,1cc77eae72,361
11-21-2011,2b5eba53a32699,474
11-22-2011,34b56ab7,339
11-23-2011,34b56ab7,317
11-24-2011,34b56ab7,488
11-25-2011,1cc77eae72,169
11-26-2011,2b5eba53a32699,423
11-27-2011,88f4fbd642b69fac,80
11-28-2011,0444e582,485
11-29-2011,34b56ab7,298
11-30-2011,34b56ab7,216
12-1-2011,1cc77eae72,354
12-2-2011,34b56ab7,431
12-3-2011,1cc77eae72,372
12-4-2011,3e080b,110
12-5-2011,1cc77eae72,161
12-6-2011,88f4fbd642b69fac,260
12-7-2011,1cc77eae72,403
12-8-2011,88f4fbd642b69fac,115
12-9-2011,34b56ab7,278
12-10-2011,34b56ab7,242
12-11-2011,34b56ab7,323
12-12-2011,2b5eba53a32699,410
12-13-2011,2b5eba53a32699,166
12-14-2011,2b5eba53a32699,490
12-15-2011,1cc77eae72,251
12-16-2011,88f4fbd642b69fac,123
12-17-2011,1cc77eae72,289
12-18-2011,1cc77eae72,83
12-19-2011,3e080b,122
12-20-2011,34b56ab7,116
12-21-2011,1cc77eae72,165
12-22-2011,88f4fbd642b69fac,428
12-23-2011,0444e582,159
12-24-2011,1cc77eae72,107
12-25-2011,34b56ab7,132
12-26-2011,34b56ab7,398
12-27-2011,88f4fbd642b69fac,483
12-28-2011,88f4fbd642b69fac,99
12-29-2011,34b56ab7,482
12-30-2011,88f4fbd642b69fac,397
12-31-2011,34b56ab7,108
1-1-2012,88f4fbd642b69fac,480
1-2-2012,88f4fbd642b69fac,393
1-3-2012,1cc77eae72,420
1-4-2012,34b56ab7,280
1-5-2012,34b56ab7,446
1-6-2012,1cc77eae72,339
1-7-2012,34b56ab7,355
1-8-2012,1cc77eae72,282
1-9-2012,34b56ab7,217
1-10-2012,0444e582,332
1-11-2012,1cc77eae72,437
1-12-2012,1cc77eae72,272
1-13-2012,1cc77eae72,265
1-14-2012,88f4fbd642b69fac,433
1-15-2012,88f4fbd642b69fac,345
1-16-2012,34b56ab7,306
1-17-2012,1cc77eae72,413
1-18-2012,88f4fbd642b69fac,89
1-19-2012,88f4fbd642b69fac,402
1-20-2012,88f4fbd642b69fac,200
1-21-2012,1cc77eae72,315
1-22-2012,1cc77eae72,388
1-23-2012,34b56ab7,208
1-24-2012,1cc77eae72,458
1-25-2012,34b56ab7,309
1-26-2012,1cc77eae72,357
1-27-2012,88f4fbd642b69fac,422
1-28-2012,34b56ab7,162
1-29-2012,88f4fbd642b69fac,453
1-30-2012,88f4fbd642b69fac,293
1-31-2012,2b5eba53a32699,107
2-1-2012,88f4fbd642b69fac,238
2-2-2012,34b56ab7,127
2-3-2012,34b56ab7,134
2-4-2012,1cc77eae72,428
2-5-2012,1cc77eae72,395
2-6-2012,88f4fbd642b69fac,410
2-7-2012,1cc77eae72,178
2-8-2012,3e080b,275
2-9-2012,88f4fbd642b69fac,262
2-10-2012,1cc77eae72,384
2-11-2012,88f4fbd642b69fac,370
2-12-2012,88f4fbd642b69fac,215
2-13-2012,3e080b,293
2-14-2012,88f4fbd642b69fac,430
2-15-2012,1cc77eae72,228
2-16-2012,0444e582,200
2-17-2012,88f4fbd642b69fac,161
2-18-2012,34b56ab7,97
2-19-2012,88f4fbd642b69fac,293
2-20-2012,88f4fbd642b69fac,105
2-21-2012,88f4fbd642b69fac,83
2-22-2012,88f4fbd642b69fac,358
